norm_name,position,entry_class,projection,sleeper,diff
brock bowers,TE,2024,83.4,159.1,-75.7
theo johnson,TE,2024,15.8,68.1,-52.3
aj barner,TE,2024,26.9,,
jatavion sanders,TE,2024,32.7,69.5,-36.8
erick all,TE,2024,57.5,67.2,-9.7
devin culp,TE,2024,15.8,,
cade stover,TE,2024,32.3,29.4,2.9
blake whiteheart,TE,2024,3.6,22.7,-19.1
brevyn spannford,TE,2024,4.5,,
cam grandy,TE,2024,7.7,,
ej jenkins,TE,2024,7.7,,
ben sinnott,TE,2024,64.7,66.5,-1.8
john shenker,TE,2024,4.0,,
tip reiman,TE,2024,24.1,,
dallin holker,TE,2024,10.0,26.0,-16.0
jaheim bell,TE,2024,28.8,48.8,-20.0
david martinrobinson,TE,2024,7.7,,
jared wiley,TE,2024,24.8,24.8,0.0
princeton fant,TE,2024,3.0,,
brenden bates,TE,2024,2.0,,
baylor cupp,TE,2024,10.5,,
colson yankoff,TE,2024,2.1,,
harold fannin,TE,2025,53.9,68.0,-14.1
tyler warren,TE,2025,79.6,121.6,-42.0
colston loveland,TE,2025,78.3,116.8,-38.5
oronde gadsden,TE,2025,49.0,48.0,1.0
mason taylor,TE,2025,55.5,99.5,-44.0
gunnar helm,TE,2025,16.0,35.0,-19.0
terrance ferguson,TE,2025,57.4,45.6,11.8
jackson hawes,TE,2025,12.7,6.2,6.5
mitchell evans,TE,2025,20.8,9.0,11.8
elijah arroyo,TE,2025,48.3,88.0,-39.7
keleki latu,TE,2025,5.1,,
zaire mitchellpaden,TE,2025,3.6,3.0,0.6
moliki matavao,TE,2025,21.7,,
ben yurosek,TE,2025,3.9,,
carter runyon,TE,2025,2.6,,
jack westover,TE,2025,4.2,,
travis vokolek,TE,2025,4.9,,
hayden rucci,TE,2025,5.4,,
nick kallerup,TE,2025,1.3,,
sal cannella,TE,2025,1.5,,
thomas fidone,TE,2025,11.4,,
drake dabney,TE,2025,6.1,,
joel wilson,TE,2026,10.9,,
messiah swinson,TE,2026,5.4,,
treyton welch,TE,2026,13.3,,
qadir ismail,TE,2026,11.8,,
rivaldo fairweather,TE,2026,17.7,,
jake briningstool,TE,2026,19.2,,
tre watson,TE,2026,14.5,,
bryce pierre,TE,2026,10.1,,
patrick herbert,TE,2026,13.3,,
zach horton,TE,2026,12.6,,
bryson nesbit,TE,2026,15.4,,
jj galbreath,TE,2026,15.2,,
joshua simon,TE,2026,19.1,,
cj dippre,TE,2026,17.9,,
mark redman,TE,2026,11.6,,
thomas gordon,TE,2026,10.1,,
layne pryor,TE,2026,13.2,,
carson towt,TE,2026,4.0,,
matthew hibner,TE,2026,14.5,,
josh cuevas,TE,2026,20.4,,
jaren kanak,TE,2026,13.8,,
daequan wright,TE,2026,19.6,,
dj rogers,TE,2026,13.7,,
michael trigg,TE,2026,18.8,26.8,-8.0
rj maryland,TE,2026,18.9,,
john michael gyllenborg,TE,2026,14.5,,
lance mason,TE,2026,9.9,,
patrick gurd,TE,2026,19.6,,
kenyon sadiq,TE,2026,56.6,109.4,-52.8
oscar delp,TE,2026,20.9,,
justin joly,TE,2026,54.8,,
tanner koziol,TE,2026,64.1,,
joe royer,TE,2026,26.9,,
bauer sharp,TE,2026,13.7,,
jack endries,TE,2026,0.5,,
carsen ryan,TE,2026,24.9,,
dallen bentley,TE,2026,16.6,,
hayden large,TE,2026,24.4,,
quentin moore,TE,2026,12.8,,
jack velling,TE,2026,17.7,,
ethan conner,TE,2026,21.0,,
chase curtis,TE,2026,5.8,,
josh kattus,TE,2026,6.5,,
kenny fletcher,TE,2026,26.5,,
lake mcree,TE,2026,17.5,,
tanner arkin,TE,2026,9.7,,
cody hardy,TE,2026,23.4,,
khalil dinkins,TE,2026,13.7,,
jameson geers,TE,2026,14.3,,
evan svoboda,TE,2026,8.3,,
eli raridon,TE,2026,39.6,,
riley nowakowski,TE,2026,29.2,,
rohan jones,TE,2026,24.2,,
dan villari,TE,2026,10.0,,
johnny pascuzzi,TE,2026,11.4,,
miles kitselman,TE,2026,15.7,,
marlin klein,TE,2026,15.0,,
eli stowers,TE,2026,74.6,65.9,8.7
nate boerkircher,TE,2026,28.1,,
max klare,TE,2026,39.4,45.1,-5.7
will kacmarek,TE,2026,33.5,,
louis hansen,TE,2026,17.4,,
sam roush,TE,2026,20.0,,
seydou traore,TE,2026,21.4,,
